 Ver5.0 position,Systematic ID,Gene ,Gene description,Ver5.0 strain (vs M-2030H-U5),Ver5.0 strain (vs M-3030H-U5),Ver5.0 strain (vs M-4030H-U5),ade type,,Plate/well position,,,,,,,,,,,,,
V5-P16-72,SPAC328.03,tps1,"alpha,alpha-trehalose-phosphate synthase [UDP-forming]",ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P16-73,SPAC3H8.08c,0,transcription factor,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P16-74,SPAC4F10.17,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-75,SPAC4F8.01,did4,vacuolar sorting protein Did4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-76,SPAC4F8.03,0,SBDS family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-77,SPAC4G9.11c,cmb1,cytosine-mismatch binding protein 1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-78,SPAC57A7.07c,0,homocysteine methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-79,SPAC5H10.01,0,DUF1445 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-80,SPAC5H10.12c,0,acetylglucosaminyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-81,SPAC630.04c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-82,SPAC664.12c,0,LYR family protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-83,SPAC6G10.08,idp1,isocitrate dehydrogenase Idp1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-84,SPAC806.07,ndk1,nucleoside diphosphate kinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-85,SPAC823.05c,tlg2,SNARE Tlg2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-86,SPAC922.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-87,SPAC977.05c,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-88,SPAPB8E5.06c,rpl302,60S ribosomal protein L3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-89,SPAPYUG7.04c,rpb9,DNA-directed RNA polymerase II complex subunit Rpb9,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-90,SPBC1105.02c,lys4,homocitrate synthase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-91,SPBC119.03,0,S-adenosylmethionine-dependent methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-92,SPBC1289.13c,0,"alpha-1,2-galactosyltransferase",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-93,SPBC12C2.01c,0,sequence orphan,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P16-94,SPBC15D4.12c,mug98,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-95,SPBC1604.20c,tea2,kinesin-like protein Tea2,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P16-96,SPBC1683.11c,0,isocitrate lyase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-01,SPBC16A3.13,meu7,alpha-amylase homolog Aah4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-02,SPBC16D10.11c,rps1801,40S ribosomal protein S18,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-03,SPBC1709.16c,0,conserved protein (fungal bacterial plant),ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-04,SPBC1711.11,0,autophagy associated protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-05,SPBC20F10.03,0,conserved eukaryotic protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-06,SPBC23E6.03c,nta1,protein N-terminal amidase Nta1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-07,SPBC25B2.10,0,Usp (universal stress protein) family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-08,SPBC27B12.08,0,AP-1 accessory protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-09,SPBC29A3.10c,atp14,F1-ATPase subunit H,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-10,SPBC2A9.05c,0,DUF846 family protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-11,SPBC317.01,mbx2,MADS-box transcription factor Pvg4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-12,SPBC337.15c,coq7,ubiquinone biosynthesis protein Coq7,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-13,SPBC3E7.07c,0,DUF757 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-14,SPBC405.06,0,DNAJ protein Xdj1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-15,SPBC409.16c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-16,SPBC646.06c,agn2,"glucan endo-1,3-alpha-glucosidase Agn2",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-18,SPBC6B1.03c,0,Pal1 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-19,SPBC725.15,ura5,orotate phosphoribosyltransferase Ura5,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-20,SPBC83.18c,0,C2 domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-21,SPBC839.05c,rps1701,40S ribosomal protein S17,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-22,SPBP4H10.19c,0,calreticulin/calnexin homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-23,SPBPB2B2.08,0,conserved fungal protein,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 Upgraded strain,ver 4.0 to 5.0 New strain,ade 216,,,,,,,,,,,,,,,
V5-P17-24,SPBPB2B2.09c,0,2-dehydropantoate 2-reductase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-25,SPCC1235.08c,pdh1,DUF1751 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-26,SPCC1281.04,0,pyridoxal reductase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-27,SPCC1393.08,0,transcription factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-28,SPCC162.04c,wtf13,wtf element Wtf13,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-29,SPCC162.05,coq3,hexaprenyldihydroxybenzoate methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-30,SPCC1682.11c,0,DUF580 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-31,SPCC1739.05,set5,histone lysine methyltransferase Set5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-32,SPCC1919.13c,0,conserved eukaryotic protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-33,SPCC24B10.12,0,CGI121 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-34,SPCC330.12c,sdh3,succinate dehydrogenase (ubiquinone),ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-35,SPCC569.03,0,DUF1773 family protein 4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-36,SPCC663.12,cid12,poly(A) polymerase Cid12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-37,SPCC777.15,0,tRNA dihydrouridine synthase Dus4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-38,SPCC794.10,0,UTP-glucose-1-phosphate uridylyltransferase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-39,SPAC10F6.08c,0,HMG box protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-40,SPAC14C4.08,mug5,meiotically upregulated gene Mug5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-41,SPAC14C4.09,agn1,"glucan endo-1,3-alpha-glucosidase Agn1",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-42,SPAC1565.03,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-43,SPAC1610.01,0,conserved fungal protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-44,SPAC16E8.17c,0,succinate-CoA ligase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-45,SPAC17G8.14c,pck1,protein kinase C (PKC)-like Pck1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-46,SPAC1805.03c,trm13,tRNA 2'-O-methyltransferase Trm13,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-47,SPAC1B3.02c,0,"transcription elongation factor, Elf1 family",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-48,SPAC23H4.10c,thi4,thiamine-phosphate dipyrophosphorylase/hydroxyethylthiazole kinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-49,SPAC25B8.09,0,trans-aconitate 3-methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-50,SPAC25G10.05c,his1,ATP phosphoribosyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-51,SPAC29B12.06c,rcd1,RNA-binding protein Rcd1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-52,SPAC2G11.04,0,RNA-binding protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-53,SPAC3A11.04,0,siepin homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-54,SPAC3C7.14c,obr1,ubiquitinated histone-like protein Uhp1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-55,SPAC56F8.14c,mug115,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-56,SPAC589.10c,0,ribomal-ubiquitin fusion protein Ubi5,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-57,SPAC5H10.02c,0,ThiJ domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-58,SPAC607.07c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-59,SPAC6B12.05c,0,chromatin remodeling complex subunit,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-60,SPAC6F12.03c,fsv1,SNARE Fsv1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-61,SPAC6G9.03c,mug183,histone chaperone Rtt106-like,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-62,SPAC7D4.05,0,hydrolase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-63,SPAP8A3.07c,0,phospho-2-dehydro-3-deoxyheptonate aldolase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-64,SPAPB24D3.03,0,agmatinase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-65,SPAPB8E5.08,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-66,SPBC1271.03c,0,phosphoprotein phosphatase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-67,SPBC1347.13c,0,ribose methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-68,SPBC13G1.04c,0,alkB homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-69,SPBC146.02,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-70,SPBC1683.10c,pcl1,ferrous iron transporter Pcl1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-71,SPBC1711.12,0,serine peptidase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-72,SPBC1718.07c,zfs1,transcription factor Zfs1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-73,SPBC18A7.01,0,X-Pro dipeptidase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-74,SPBC1921.04c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-75,SPBC1921.06c,pvg3,"beta-1,3-galactosyltransferase",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-76,SPBC1E8.02,0,"ubiquitin family protein, unknown",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-77,SPBC24C6.10c,0,conserved eukaryotic protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-78,SPBC2F12.09c,atf21,transcription factor Atf21,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-79,SPBC2G2.07c,mug178,mitochondrial ribosomal protein subunit L51-b,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-80,SPBC2G5.01,0,DUF1682 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-81,SPBC2G5.03,ctu1,ATP binding protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-82,SPBC530.03c,bag102,BAG family molecular chaperone regulator,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-83,SPCC1183.09c,pmp31,plasma membrane proteolipid Pmp31,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-84,SPCC1235.03,0,SMR and CUE domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-85,SPCC126.10,iah1,isoamyl acetate hydrolytic enzyme Iah1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-86,SPCC1393.10,ctr4,copper transporter complex subunit Ctr4,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-87,SPCC1442.13c,0,RNA-binding protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-88,SPCC16A11.15c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-89,SPCC1795.06,map2,P-factor,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-90,SPCC18B5.09c,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-91,SPCC285.10c,0,SPRY domain protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-92,SPCC338.14,0,adenosine kinase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P17-93,SPCC663.09c,0,short chain dehydrogenase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-94,SPCP20C8.02c,0,S. pombe specific UPF0321 family protein 1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-95,SPCPB1C11.01,amt1,ammonium transporter Amt1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P17-96,SPAC1093.02,0,pyridoxamine 5'-phosphate oxidase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P18-01,SPAC13D6.01,pof14,F-box protein Pof14,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-02,SPAC13D6.02c,byr3,zinc finger protein Byr3,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-03,SPAC14C4.10c,0,Nudix family hydrolase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-04,SPAC167.06c,mug143,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-05,SPAC1783.06c,atg12,autophagy associated protein Atg12,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-06,SPAC17G8.08c,0,human TMEM165 homolog,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-07,SPAC18B11.03c,0,N-acetyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-08,SPAC18G6.01c,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-09,SPAC19G12.04,0,ureidoglycolate hydrolase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-10,SPAC1A6.07,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-11,SPAC1B3.06c,0,UbiE family methyltransferase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-12,SPAC20H4.03c,tfs1,transcription elongation factor TFIIS,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-13,SPAC22A12.03c,csn4,COP9/signalosome complex subunit Csn4,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-14,SPAC22E12.05c,rer1,Rer1 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-15,SPAC23A1.14c,0,cystathionine gamma-synthase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-16,SPAC823.12,0,zinc finger protein Pep5/Vps11,ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 to 5.0 New strain,ade 216,,,,,,,,,,,,,,,
V5-P18-17,SPAC31A2.12,0,arrestin/PY protein 1,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-19,SPAC31A2.13c,sft1,SNARE Sft1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P18-20,SPAC3G9.11c,0,pyruvate decarboxylase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-21,SPCC794.08,0,"HEAT repeat protein, unknown biological role",ver 2.0 to 5.0 New strain,ver 3.0 to 5.0 New strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-22,SPAC630.06c,0,conserved fungal protein,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P18-23,SPAC6G10.11c,ubi3,ribosomal ubiquitin fusion protein Ubi3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-24,SPAC9.08c,0,steroid reductase,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-25,SPAC977.14c,0,"aldo/keto reductase, unknown biological role",ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-26,SPAPB1A10.10c,ypt71,GTPase Ypt71,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-27,SPAPB21F2.02,0,Dopey family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-28,SPBC11B10.10c,pht1,histone H2A variant,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-29,SPBC12C2.09c,0,Haemolysin-III family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-30,SPBC13E7.07,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-31,SPBC15C4.06c,0,ubiquitin-protein ligase E3,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P18-32,SPBC16C6.04,0,sequence orphan,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-33,SPBC1773.05c,tms1,hexitol dehydrogenase,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P18-34,SPBC17D11.03c,0,conserved fungal protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
V5-P18-35,SPBC215.03c,csn1,COP9/signalosome complex subunit Csn1,ver 2.0 to 5.0 upgraded strain,ver 3.0 to 5.0 upgraded strain,ver 4.0 to 5.0 upgraded strain,ade 216,,,,,,,,,,,,,,,
V5-P18-36,SPBC25H2.09,0,DUF1690 family protein,ver 2.0 strain,ver 3.0 strain,ver 4.0 strain,ade 216,,,,,,,,,,,,,,,
